setting_name,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std,mean_pairwise_cosine_similarity_mean,mean_pairwise_cosine_similarity_std,mean_pairwise_cosine_distance_mean,mean_pairwise_cosine_distance_std,pairwise_cosine_similarity_std_mean,pairwise_cosine_similarity_std_std,pairwise_cosine_distance_std_mean,pairwise_cosine_distance_std_std
occ50_s80,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,7.25,2.1505813167606567,2.5,2.23606797749979,0.999746595933982,9.091001006329777e-06,0.00025340406601792755,9.091001006336466e-06,0.00018126854512559278,1.8640671762162485e-05,0.00018126854512559278,1.8640671762162485e-05
occ50_s80,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,9.0,1.4577379737113252,4.5,2.449489742783178,0.9978343231296316,3.586202702388468e-05,0.0021656768703683907,3.586202702384332e-05,0.0010464648878376335,3.6001820183207954e-05,0.0010464648878376335,3.6001820183207954e-05
occ50_s80,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,14.0,2.5495097567963922,4.0,3.391164991562634,0.9971017039320926,2.855394307277449e-05,0.002898296067907498,2.8553943072835054e-05,0.00120609676895452,5.276236379994519e-05,0.0012060967689545199,5.2762363799945234e-05
occ50_s80,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,63.5,6.633249580710799,6.5,2.0,0.9935250163642525,4.645346671801947e-05,0.006474983635747564,4.645346671801328e-05,0.002162988825045076,7.806724506500186e-05,0.002162988825045076,7.806724506500186e-05
occ50_s80,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,93.25,1.695582495781317,10.5,2.9154759474226504,0.9845593878243974,0.0001515927841871582,0.0154406121756026,0.0001515927841872025,0.005683608542934515,0.0001811027141737019,0.005683608542934514,0.000181102714173702
occ50_s80,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,99.5,0.6123724356957945,9.0,4.636809247747852,0.964942666653595,0.00039261343026821715,0.035057333346405005,0.00039261343026818945,0.010092863834327687,0.0002625697163507845,0.010092863834327687,0.0002625697163507845
occ50_s80,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,98.0,1.0,12.5,3.1622776601683795,0.9370075965812026,0.0004087353636845054,0.06299240341879757,0.00040873536368457884,0.017240444874445586,0.00013150412050145935,0.017240444874445586,0.00013150412050145935
occ50_s80,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,98.75,0.7905694150420949,17.0,4.301162633521313,0.9498720816655372,0.0004232895783993699,0.050127918334462965,0.0004232895783993659,0.011495476671848128,0.00013579555306853864,0.011495476671848128,0.00013579555306853864
occ50_s80,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,96.25,0.7905694150420949,26.5,4.898979485566356,0.9552634252214782,0.00039655277514091597,0.04473657477852187,0.00039655277514095446,0.008375135137640497,0.00021234443837762302,0.008375135137640497,0.00021234443837762302
occ50_s80,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,94.75,1.224744871391589,45.5,3.6742346141747673,0.9486354362055728,0.0005893197554667402,0.051364563794427165,0.0005893197554667468,0.009490232081952895,0.00025238124656432265,0.009490232081952895,0.00025238124656432265
