setting_name,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std,mean_pairwise_cosine_similarity_mean,mean_pairwise_cosine_similarity_std,mean_pairwise_cosine_distance_mean,mean_pairwise_cosine_distance_std,pairwise_cosine_similarity_std_mean,pairwise_cosine_similarity_std_std,pairwise_cosine_distance_std_mean,pairwise_cosine_distance_std_std
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_10,40,80,0.01,occlusion,5.0,2,0.5,5,71.5,2.5495097567963922,45.0,2.5,0.8565795773783378,0.005320530238282145,0.143420422621662,0.005320530238282186,0.03522036424691161,0.0027622831080916137,0.03522036424691161,0.0027622831080916146
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_11,40,80,0.01,occlusion,5.0,2,0.5,5,82.5,5.0,45.0,2.23606797749979,0.882872730362809,0.0018093731241169795,0.11712726963719096,0.0018093731241169806,0.023313691583953848,0.0010855856180284607,0.023313691583953848,0.0010855856180284607
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_0,40,80,0.01,occlusion,5.0,2,0.5,5,3.5,2.5495097567963922,2.25,0.9354143466934853,0.9957507491954367,0.00030145089123956976,0.004249250804563313,0.00030145089123957366,0.0023940519517321813,0.00026352633233108326,0.0023940519517321813,0.0002635263323310835
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_1,40,80,0.01,occlusion,5.0,2,0.5,5,4.5,2.449489742783178,2.25,0.9354143466934853,0.995683611087679,0.00024965615825193267,0.004316388912321263,0.0002496561582518702,0.0018012341466809652,0.0001439703669559048,0.0018012341466809652,0.00014397036695590476
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_2,40,80,0.01,occlusion,5.0,2,0.5,5,11.0,4.06201920231798,2.5,1.118033988749895,0.9882353057694262,0.0007844042475940675,0.011764694230573752,0.0007844042475940701,0.00459574113960259,0.0005310807600709794,0.004595741139602591,0.0005310807600709795
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_3,40,80,0.01,occlusion,5.0,2,0.5,5,25.5,3.3166247903554003,2.75,1.224744871391589,0.9775938085694287,0.0009315547149273258,0.022406191430571175,0.0009315547149272976,0.007656056534288261,0.000669713451950142,0.007656056534288261,0.0006697134519501415
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_4,40,80,0.01,occlusion,5.0,2,0.5,5,70.5,9.0,3.75,2.091650066335189,0.9530321868747155,0.0013086894653877507,0.04696781312528442,0.001308689465387735,0.015975238558424382,0.0008760639882816832,0.015975238558424382,0.000876063988281683
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_5,40,80,0.01,occlusion,5.0,2,0.5,5,92.5,3.1622776601683795,3.75,1.7677669529663689,0.9184023544395744,0.0018916991773661508,0.08159764556042544,0.001891699177366163,0.023683405703638073,0.0020520879402889745,0.023683405703638073,0.0020520879402889745
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_6,40,80,0.01,occlusion,5.0,2,0.5,5,98.0,1.8708286933869707,5.0,1.118033988749895,0.9005990209986777,0.0013660425809356872,0.0994009790013222,0.0013660425809356288,0.02505548536686595,0.0023260031260621105,0.02505548536686595,0.0023260031260621105
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_7,40,80,0.01,occlusion,5.0,2,0.5,5,92.0,2.9154759474226504,5.0,2.622022120425379,0.9122357749615979,0.0009376772552854401,0.08776422503840206,0.0009376772552854261,0.021041832831305018,0.0013261277917139538,0.021041832831305018,0.0013261277917139538
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_8,40,80,0.01,occlusion,5.0,2,0.5,5,72.0,7.968688725254614,4.75,3.48209706929603,0.9373754433013053,0.0011181353631716643,0.06262455669869482,0.00111813536317163,0.015125464895040705,0.0008564624679869043,0.015125464895040705,0.0008564624679869035
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_9,40,80,0.01,occlusion,5.0,2,0.5,5,44.0,9.695359714832655,7.75,2.8939592256975564,0.9480539580036302,0.0013623210834398944,0.05194604199636976,0.001362321083439929,0.01121800926942352,0.0007104251187678923,0.011218009269423521,0.0007104251187678925
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_10,40,80,0.01,occlusion,5.0,2,0.5,5,38.0,8.276472678623424,21.0,5.326818938165629,0.8818736406130208,0.00246330735901938,0.11812635938697931,0.0024633073590193517,0.02932461172326395,0.0017782485541474606,0.02932461172326395,0.0017782485541474606
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_11,40,80,0.01,occlusion,5.0,2,0.5,5,57.5,6.123724356957945,54.0,5.667892024377315,0.5541845848425243,0.0016020461895806589,0.44581541515747575,0.0016020461895806303,0.08101910139012815,0.0032105607151920604,0.08101910139012815,0.0032105607151920604
